n1	n2
CUIHSIWYWATEQL-UHFFFAOYSA-N	P35968
CUIHSIWYWATEQL-UHFFFAOYSA-N	P36888
CUIHSIWYWATEQL-UHFFFAOYSA-N	Q08881
CUIHSIWYWATEQL-UHFFFAOYSA-N	Q9UQQ2
CVWXJKQAOSCOAB-UHFFFAOYSA-N	P07333
CVWXJKQAOSCOAB-UHFFFAOYSA-N	P07949
CVWXJKQAOSCOAB-UHFFFAOYSA-N	P09619
CVWXJKQAOSCOAB-UHFFFAOYSA-N	P10721
CVWXJKQAOSCOAB-UHFFFAOYSA-N	P16234
CVWXJKQAOSCOAB-UHFFFAOYSA-N	P36888
CXQHYVUVSFXTMY-UHFFFAOYSA-N	P08581
CXQHYVUVSFXTMY-UHFFFAOYSA-N	P10721
CXQHYVUVSFXTMY-UHFFFAOYSA-N	P17948
CXQHYVUVSFXTMY-UHFFFAOYSA-N	P35916
CXQHYVUVSFXTMY-UHFFFAOYSA-N	P35968
CXQHYVUVSFXTMY-UHFFFAOYSA-N	Q02763
DEFBCZWQLILOJF-UHFFFAOYSA-N	O75962
DEFBCZWQLILOJF-UHFFFAOYSA-N	P63000
DEFBCZWQLILOJF-UHFFFAOYSA-N	Q13009
DEZZLWQELQORIU-UHFFFAOYSA-N	P15056
DFBIRQPKNDILPW-CIVMWXNOSA-N	Q04206
DKPQHFZUICCZHF-UHFFFAOYSA-N	P36897
DMMILYKXNCVKOJ-UHFFFAOYSA-N	O14757
DMMILYKXNCVKOJ-UHFFFAOYSA-N	O15530
DMMILYKXNCVKOJ-UHFFFAOYSA-N	P24941
DMMILYKXNCVKOJ-UHFFFAOYSA-N	P35968
DMMILYKXNCVKOJ-UHFFFAOYSA-N	P49841
DMMILYKXNCVKOJ-UHFFFAOYSA-N	Q15118
DOKZLKDGUQWMSX-HKBQPEDESA-N	Q8N6T3
DOXYOPGGFSMXOX-GOSISDBHSA-N	Q58F21
DPCXEUSDRQOOGZ-QLYXXIJNSA-N	P15056
DQLATGHUWYMOKM-UHFFFAOYSA-L	P98170
DQNFQTHSDKXSEE-YWSGDMFXSA-N	O15379
DQNFQTHSDKXSEE-YWSGDMFXSA-N	Q13547
DQNFQTHSDKXSEE-YWSGDMFXSA-N	Q92769
DQNFQTHSDKXSEE-YWSGDMFXSA-N	Q9BY41
DQNFQTHSDKXSEE-YWSGDMFXSA-N	Q9UBN7
DTDZLJHKVNTQGZ-GOSISDBHSA-N	Q15118
DTDZLJHKVNTQGZ-GOSISDBHSA-N	Q15119
DXCUKNQANPLTEJ-UHFFFAOYSA-N	P09619
DXCUKNQANPLTEJ-UHFFFAOYSA-N	P11362
DXCUKNQANPLTEJ-UHFFFAOYSA-N	P16234
DXCUKNQANPLTEJ-UHFFFAOYSA-N	P17948
DXCUKNQANPLTEJ-UHFFFAOYSA-N	P21802
DXCUKNQANPLTEJ-UHFFFAOYSA-N	P22455
DXCUKNQANPLTEJ-UHFFFAOYSA-N	P22607
DXCUKNQANPLTEJ-UHFFFAOYSA-N	P35916
DXCUKNQANPLTEJ-UHFFFAOYSA-N	P35968
DXDRHHKMWQZJHT-FPYGCLRLSA-N	Q9UBS5
DZLOHEOHWICNIL-UHFFFAOYSA-N	P50416
FABUFPQFXZVHFB-PVYNADRNSA-N	P04350
FABUFPQFXZVHFB-PVYNADRNSA-N	P07437
FABUFPQFXZVHFB-PVYNADRNSA-N	P0DPH7
FABUFPQFXZVHFB-PVYNADRNSA-N	P0DPH8
FABUFPQFXZVHFB-PVYNADRNSA-N	P68363
FABUFPQFXZVHFB-PVYNADRNSA-N	P68366
FABUFPQFXZVHFB-PVYNADRNSA-N	P68371
FABUFPQFXZVHFB-PVYNADRNSA-N	Q13509
FABUFPQFXZVHFB-PVYNADRNSA-N	Q13885
FABUFPQFXZVHFB-PVYNADRNSA-N	Q3ZCM7
FABUFPQFXZVHFB-PVYNADRNSA-N	Q6PEY2
FABUFPQFXZVHFB-PVYNADRNSA-N	Q71U36
FABUFPQFXZVHFB-PVYNADRNSA-N	Q9BQE3
FABUFPQFXZVHFB-PVYNADRNSA-N	Q9BUF5
FABUFPQFXZVHFB-PVYNADRNSA-N	Q9BVA1
FABUFPQFXZVHFB-PVYNADRNSA-N	Q9H4B7
FAIFAFUXFFWVNQ-UHFFFAOYSA-N	O14939
FBLPQCAQRNSVHB-UHFFFAOYSA-N	P23443
FBOZXECLQNJBKD-ZDUSSCGKSA-N	P00374
FDKXTQMXEQVLRF-ZHACJKMWSA-N	P52209
FDKXTQMXEQVLRF-ZHACJKMWSA-N	Q14181
FGTCROZDHDSNIO-UHFFFAOYSA-N	P10721
FGTCROZDHDSNIO-UHFFFAOYSA-N	P17948
FGTCROZDHDSNIO-UHFFFAOYSA-N	P35968
FHYUGAJXYORMHI-UHFFFAOYSA-N	P36897
FHYUGAJXYORMHI-UHFFFAOYSA-N	Q8NER5
FJHBVJOVLFPMQE-QFIPXVFZSA-N	P11387
FJHHZXWJVIEFGJ-UHFFFAOYSA-N	P25101
FJLGEFLZQAZZCD-MCBHFWOFSA-N	P04035
FNQDSLSOLMXCMU-UHFFFAOYSA-N	P98170
FOUVTBKPJRMLPE-FMIVXFBMSA-N	P10276
FOUVTBKPJRMLPE-FMIVXFBMSA-N	P10826
FOUVTBKPJRMLPE-FMIVXFBMSA-N	P13631
FPOHNWQLNRZRFC-ZHACJKMWSA-N	O15379
FPOHNWQLNRZRFC-ZHACJKMWSA-N	P56524
FPOHNWQLNRZRFC-ZHACJKMWSA-N	Q13547
FPOHNWQLNRZRFC-ZHACJKMWSA-N	Q8WUI4
FPOHNWQLNRZRFC-ZHACJKMWSA-N	Q92769
FPOHNWQLNRZRFC-ZHACJKMWSA-N	Q969S8
FPOHNWQLNRZRFC-ZHACJKMWSA-N	Q9BY41
FPOHNWQLNRZRFC-ZHACJKMWSA-N	Q9UBN7
FPOHNWQLNRZRFC-ZHACJKMWSA-N	Q9UKV0
FPOHNWQLNRZRFC-ZHACJKMWSA-N	Q9UQL6
FPYJSJDOHRDAMT-UHFFFAOYSA-N	P08581
FQZYTYWMLGAPFJ-OQKDUQJOSA-N	P03372
FQZYTYWMLGAPFJ-OQKDUQJOSA-N	P05129
FQZYTYWMLGAPFJ-OQKDUQJOSA-N	P05771
FQZYTYWMLGAPFJ-OQKDUQJOSA-N	P17252
FQZYTYWMLGAPFJ-OQKDUQJOSA-N	P41743
FQZYTYWMLGAPFJ-OQKDUQJOSA-N	Q02156
FQZYTYWMLGAPFJ-OQKDUQJOSA-N	Q04759
FQZYTYWMLGAPFJ-OQKDUQJOSA-N	Q05513
FQZYTYWMLGAPFJ-OQKDUQJOSA-N	Q05655
FQZYTYWMLGAPFJ-OQKDUQJOSA-N	Q5HYK7
FQZYTYWMLGAPFJ-OQKDUQJOSA-N	Q92731
FQZYTYWMLGAPFJ-OQKDUQJOSA-N	Q99527
FSFZRNZSZYDVLI-UHFFFAOYSA-N	P34972
FUZYTVDVLBBXDL-UHFFFAOYSA-N	Q96EB6
FWFGIHPGRQZWIW-SQNIBIBYSA-N	P15144
FWFGIHPGRQZWIW-SQNIBIBYSA-N	P28838
FWFGIHPGRQZWIW-SQNIBIBYSA-N	P55786
FXNFHKRTJBSTCS-UHFFFAOYSA-N	P01375
FXNFHKRTJBSTCS-UHFFFAOYSA-N	P09917
FXNFHKRTJBSTCS-UHFFFAOYSA-N	P14151
FXNFHKRTJBSTCS-UHFFFAOYSA-N	P16109
FXNFHKRTJBSTCS-UHFFFAOYSA-N	P47989
FXNFHKRTJBSTCS-UHFFFAOYSA-N	P48147
FXNFHKRTJBSTCS-UHFFFAOYSA-N	Q04760
FYBHCRQFSFYWPY-UHFFFAOYSA-N	Q9NWM0
FYSRKRZDBHOFAY-UHFFFAOYSA-N	P01375
FYSRKRZDBHOFAY-UHFFFAOYSA-N	P01584
FYSRKRZDBHOFAY-UHFFFAOYSA-N	P05231
FYSRKRZDBHOFAY-UHFFFAOYSA-N	P53778
FYSRKRZDBHOFAY-UHFFFAOYSA-N	Q15759
FYSRKRZDBHOFAY-UHFFFAOYSA-N	Q16539
GBABOYUKABKIAF-UHFFFAOYSA-N	P04350
GBABOYUKABKIAF-UHFFFAOYSA-N	P07437
