n1	n2
LHNIIDJUOCFXAP-UHFFFAOYSA-N	O00329
LHNIIDJUOCFXAP-UHFFFAOYSA-N	P42336
LHNIIDJUOCFXAP-UHFFFAOYSA-N	P42338
LHNIIDJUOCFXAP-UHFFFAOYSA-N	P48736
LKJPYSCBVHEWIU-UHFFFAOYSA-N	P15121
LLVZBTWPGQVVLW-UHFFFAOYSA-N	P04626
LNPDTQAFDNKSHK-UHFFFAOYSA-N	O43570
LNPDTQAFDNKSHK-UHFFFAOYSA-N	P35354
LNRUPMPQQGPSQT-UHFFFAOYSA-N	Q00987
LONYFCOVHHQLGM-UHFFFAOYSA-N	Q9H6P5
LPMXVESGRSUGHW-XPXORLBYSA-N	P05023
LPMXVESGRSUGHW-XPXORLBYSA-N	P05026
LPMXVESGRSUGHW-XPXORLBYSA-N	P13637
LPMXVESGRSUGHW-XPXORLBYSA-N	P14415
LPMXVESGRSUGHW-XPXORLBYSA-N	P50993
LPMXVESGRSUGHW-XPXORLBYSA-N	P54709
LPMXVESGRSUGHW-XPXORLBYSA-N	Q13733
LPMXVESGRSUGHW-XPXORLBYSA-N	Q9UN42
LQVXSNNAFNGRAH-QHCPKHFHSA-N	P06213
LQVXSNNAFNGRAH-QHCPKHFHSA-N	P08069
LQVXSNNAFNGRAH-QHCPKHFHSA-N	P31749
LZAXPYOBKSJSEX-UHFFFAOYSA-N	P12882
LZAXPYOBKSJSEX-UHFFFAOYSA-N	Q9UKX2
LZAZURSABQIKGB-AEKGRLRDSA-N	P61586
LZMOSYUFVYJEPY-UHFFFAOYSA-N	P17612
LZMOSYUFVYJEPY-UHFFFAOYSA-N	P31749
LZMOSYUFVYJEPY-UHFFFAOYSA-N	P31751
LZMOSYUFVYJEPY-UHFFFAOYSA-N	P49841
LZMOSYUFVYJEPY-UHFFFAOYSA-N	P61925
LZMOSYUFVYJEPY-UHFFFAOYSA-N	Q9UBS0
LZMOSYUFVYJEPY-UHFFFAOYSA-N	Q9Y243
MAASHDQFQDDECQ-UHFFFAOYSA-N	P30304
MAASHDQFQDDECQ-UHFFFAOYSA-N	P30305
MAASHDQFQDDECQ-UHFFFAOYSA-N	P30307
MFFMDFFZMYYVKS-SECBINFHSA-N	P27487
MIQUEZGHEJGPJB-UHFFFAOYSA-N	O14746
MLDQJTXFUGDVEO-UHFFFAOYSA-N	P07949
MLDQJTXFUGDVEO-UHFFFAOYSA-N	P09619
MLDQJTXFUGDVEO-UHFFFAOYSA-N	P10721
MLDQJTXFUGDVEO-UHFFFAOYSA-N	P11362
MLDQJTXFUGDVEO-UHFFFAOYSA-N	P12724
MLDQJTXFUGDVEO-UHFFFAOYSA-N	P15056
MLDQJTXFUGDVEO-UHFFFAOYSA-N	P17948
MLDQJTXFUGDVEO-UHFFFAOYSA-N	P35916
MLDQJTXFUGDVEO-UHFFFAOYSA-N	P35968
MLDQJTXFUGDVEO-UHFFFAOYSA-N	P36888
MLDQJTXFUGDVEO-UHFFFAOYSA-N	Q16832
MNULEGDCPYONBU-QECWTJOCSA-N	P25705
MNULEGDCPYONBU-QECWTJOCSA-N	Q7Z4Y8
MOSKATHMXWSZTQ-UHFFFAOYSA-N	P06213
MOSKATHMXWSZTQ-UHFFFAOYSA-N	P08069
MPVGZUGXCQEXTM-UHFFFAOYSA-N	P07333
MPVGZUGXCQEXTM-UHFFFAOYSA-N	P07949
MPVGZUGXCQEXTM-UHFFFAOYSA-N	P09603
MPVGZUGXCQEXTM-UHFFFAOYSA-N	P09619
MPVGZUGXCQEXTM-UHFFFAOYSA-N	P10721
MPVGZUGXCQEXTM-UHFFFAOYSA-N	P17948
MPVGZUGXCQEXTM-UHFFFAOYSA-N	P35916
MPVGZUGXCQEXTM-UHFFFAOYSA-N	P35968
MPVGZUGXCQEXTM-UHFFFAOYSA-N	P36888
MPVGZUGXCQEXTM-UHFFFAOYSA-N	Q02763
MQBZVUNNWUIPMK-UHFFFAOYSA-N	P25025
MURCDOXDAHPNRQ-ZJKZPDEISA-N	P49768
MURCDOXDAHPNRQ-ZJKZPDEISA-N	Q92542
MURCDOXDAHPNRQ-ZJKZPDEISA-N	Q96BI3
MURCDOXDAHPNRQ-ZJKZPDEISA-N	Q9NZ42
MVCLSAMNMAWXFQ-UHFFFAOYSA-N	P31213
MXAYKZJJDUDWDS-LBPRGKRZSA-N	P28074
MZDKLVOWGIOKTN-UHFFFAOYSA-N	Q05397
MZDKLVOWGIOKTN-UHFFFAOYSA-N	Q14289
NAVMQTYZDKMPEU-UHFFFAOYSA-N	P19793
NAVMQTYZDKMPEU-UHFFFAOYSA-N	P28702
NAVMQTYZDKMPEU-UHFFFAOYSA-N	P48443
NCAJLQDPTZBGJV-UHFFFAOYSA-N	P04637
NCNRHFGMJRPRSK-MDZDMXLPSA-N	O15379
NCNRHFGMJRPRSK-MDZDMXLPSA-N	P56524
NCNRHFGMJRPRSK-MDZDMXLPSA-N	Q13547
NCNRHFGMJRPRSK-MDZDMXLPSA-N	Q8WUI4
NCNRHFGMJRPRSK-MDZDMXLPSA-N	Q92769
NCNRHFGMJRPRSK-MDZDMXLPSA-N	Q969S8
NCNRHFGMJRPRSK-MDZDMXLPSA-N	Q96DB2
NCNRHFGMJRPRSK-MDZDMXLPSA-N	Q9BY41
NCNRHFGMJRPRSK-MDZDMXLPSA-N	Q9UBN7
NCNRHFGMJRPRSK-MDZDMXLPSA-N	Q9UKV0
NCNRHFGMJRPRSK-MDZDMXLPSA-N	Q9UQL6
NCUCGYYHUFIYNU-UHFFFAOYSA-N	P78540
NCUCGYYHUFIYNU-UHFFFAOYSA-N	Q9GZM7
NHHQJBCNYHBUSI-UHFFFAOYSA-N	P43405
NIJJYAXOARWZEE-UHFFFAOYSA-N	O60939
NIJJYAXOARWZEE-UHFFFAOYSA-N	P35498
NIJJYAXOARWZEE-UHFFFAOYSA-N	P35499
NIJJYAXOARWZEE-UHFFFAOYSA-N	P45954
NIJJYAXOARWZEE-UHFFFAOYSA-N	P51649
NIJJYAXOARWZEE-UHFFFAOYSA-N	P80404
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q01118
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q02218
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q07699
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q13547
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q14524
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q15858
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q8IWT1
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q92769
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q99250
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q9NY46
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q9NY72
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q9UI33
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q9UKV0
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q9UQD0
NIJJYAXOARWZEE-UHFFFAOYSA-N	Q9Y5Y9
NMUSYJAQQFHJEW-KVTDHHQDSA-N	P26358
NMUSYJAQQFHJEW-KVTDHHQDSA-N	Q9Y6K1
NPUXORBZRBIOMQ-RUZDIDTESA-N	Q9NYA1
NRUKOCRGYNPUPR-QBPJDGROSA-N	P11388
NRUKOCRGYNPUPR-QBPJDGROSA-N	Q02880
NXNQLECPAXXYTR-UHFFFAOYSA-N	P04629
NXNRAECHCJZNRF-JBACZVJFSA-N	P08183
NXNRAECHCJZNRF-JBACZVJFSA-N	P33527
NXNRAECHCJZNRF-JBACZVJFSA-N	Q9UNQ0
OGNYUTNQZVRGMN-UHFFFAOYSA-N	O14965
OGNYUTNQZVRGMN-UHFFFAOYSA-N	Q96GD4
OLIIUAHHAZEXEX-UHFFFAOYSA-N	Q13464
OLTZHXYLLRJLST-UHFFFAOYSA-O	P04637
OMZCMEYTWSXEPZ-UHFFFAOYSA-N	P00533
OMZCMEYTWSXEPZ-UHFFFAOYSA-N	P04626
OMZCMEYTWSXEPZ-UHFFFAOYSA-N	P31749
OMZCMEYTWSXEPZ-UHFFFAOYSA-N	Q15303
ONXROKMQGCSOMG-UHFFFAOYSA-N	P41279
OPXLLQIJSORQAM-UHFFFAOYSA-N	P07437
OPXLLQIJSORQAM-UHFFFAOYSA-N	P68371
OPXLLQIJSORQAM-UHFFFAOYSA-N	Q71U36
OSXFATOLZGZLSK-UHFFFAOYSA-N	Q96KQ7
OSXFATOLZGZLSK-UHFFFAOYSA-N	Q9H9B1
OTSOOHRUMBRSHZ-UHFFFAOYSA-N	O15392
OVPNQJVDAFNBDN-UHFFFAOYSA-N	O94921
OVPNQJVDAFNBDN-UHFFFAOYSA-N	P06493
OVPNQJVDAFNBDN-UHFFFAOYSA-N	P11802
OVPNQJVDAFNBDN-UHFFFAOYSA-N	P24941
OVPNQJVDAFNBDN-UHFFFAOYSA-N	P50750
OVPNQJVDAFNBDN-UHFFFAOYSA-N	Q00534
OVPNQJVDAFNBDN-UHFFFAOYSA-N	Q00535
OYONTEXKYJZFHA-SSHUPFPWSA-N	P08581
OYVAGSVQBOHSSS-UHFFFAOYSA-O	P49916
OYVAGSVQBOHSSS-UHFFFAOYSA-O	Q96JA1
OYYVWNDMOQPMGE-SDQBBNPISA-N	P48736
PCZOHLXUXFIOCF-BXMDZJJMSA-N	O75469
PCZOHLXUXFIOCF-BXMDZJJMSA-N	P04035
PCZOHLXUXFIOCF-BXMDZJJMSA-N	P20701
PCZOHLXUXFIOCF-BXMDZJJMSA-N	Q92769
PDOQBOJDRPLBQU-UHFFFAOYSA-N	O60674
PDOQBOJDRPLBQU-UHFFFAOYSA-N	P23458
PDOQBOJDRPLBQU-UHFFFAOYSA-N	P52333
PGFQXGLPJUCTOI-WYMLVPIESA-N	O14746
PKCYYPHSCUSQDK-UHFFFAOYSA-N	O75604
PKCYYPHSCUSQDK-UHFFFAOYSA-N	O94782
PKCYYPHSCUSQDK-UHFFFAOYSA-N	P45974
PKCYYPHSCUSQDK-UHFFFAOYSA-N	Q92995
PKCYYPHSCUSQDK-UHFFFAOYSA-N	Q93009
PKCYYPHSCUSQDK-UHFFFAOYSA-N	Q9HC62
PLHJCIYEEKOWNM-MHZLTWQESA-N	P49354
PLHJCIYEEKOWNM-MHZLTWQESA-N	P49356
PLWROONZUDKYKG-DOFZRALJSA-N	P0C869
PLWROONZUDKYKG-DOFZRALJSA-N	P47712
PLWROONZUDKYKG-DOFZRALJSA-N	Q7L5A8
PLWROONZUDKYKG-DOFZRALJSA-N	Q86XP0
PLWROONZUDKYKG-DOFZRALJSA-N	Q9UP65
PMATZTZNYRCHOR-KMSBSJHKSA-N	Q08752
PMXCMJLOPOFPBT-HNNXBMFYSA-N	P06493
PMXCMJLOPOFPBT-HNNXBMFYSA-N	P11802
PMXCMJLOPOFPBT-HNNXBMFYSA-N	P12931
PMXCMJLOPOFPBT-HNNXBMFYSA-N	P24941
PMXCMJLOPOFPBT-HNNXBMFYSA-N	Q00535
PMXCMJLOPOFPBT-HNNXBMFYSA-N	Q15418
PMXCMJLOPOFPBT-HNNXBMFYSA-N	Q9Y6M4
PQAPVTKIEGUPRN-UHFFFAOYSA-N	P10415
PQAPVTKIEGUPRN-UHFFFAOYSA-N	Q07817
PQAPVTKIEGUPRN-UHFFFAOYSA-N	Q07820
PSPFQEBFYXJZEV-UHFFFAOYSA-N	O14920
PSPFQEBFYXJZEV-UHFFFAOYSA-N	O15111
QAPAJIZPZGWAND-UHFFFAOYSA-N	O00444
QAPAJIZPZGWAND-UHFFFAOYSA-N	Q13164
QAPAJIZPZGWAND-UHFFFAOYSA-N	Q13470
QAPAJIZPZGWAND-UHFFFAOYSA-N	Q8N568
QBKSWRVVCFFDOT-UHFFFAOYSA-N	P00338
QBKSWRVVCFFDOT-UHFFFAOYSA-N	P07195
QBKSWRVVCFFDOT-UHFFFAOYSA-N	P07864
QBKSWRVVCFFDOT-UHFFFAOYSA-N	P10415
QBKSWRVVCFFDOT-UHFFFAOYSA-N	Q07817
QDITZBLZQQZVEE-YBEGLDIGSA-N	O00329
QDITZBLZQQZVEE-YBEGLDIGSA-N	P42336
QDITZBLZQQZVEE-YBEGLDIGSA-N	P42338
QDITZBLZQQZVEE-YBEGLDIGSA-N	P42345
QDITZBLZQQZVEE-YBEGLDIGSA-N	P48736
QFWCYNPOPKQOKV-UHFFFAOYSA-N	O00141
QFWCYNPOPKQOKV-UHFFFAOYSA-N	O14757
QFWCYNPOPKQOKV-UHFFFAOYSA-N	P06239
QFWCYNPOPKQOKV-UHFFFAOYSA-N	P12724
QFWCYNPOPKQOKV-UHFFFAOYSA-N	P17252
QFWCYNPOPKQOKV-UHFFFAOYSA-N	P23443
QFWCYNPOPKQOKV-UHFFFAOYSA-N	P28482
QFWCYNPOPKQOKV-UHFFFAOYSA-N	P31749
QFWCYNPOPKQOKV-UHFFFAOYSA-N	P45983
QFWCYNPOPKQOKV-UHFFFAOYSA-N	P49841
QFWCYNPOPKQOKV-UHFFFAOYSA-N	P53778
QFWCYNPOPKQOKV-UHFFFAOYSA-N	Q02750
QFWCYNPOPKQOKV-UHFFFAOYSA-N	Q13464
QFWCYNPOPKQOKV-UHFFFAOYSA-N	Q15759
QFWCYNPOPKQOKV-UHFFFAOYSA-N	Q16539
QGJZLNKBHJESQX-FZFNOLFKSA-N	Q8TDU6
QJJXYPPXXYFBGM-LFZNUXCKSA-N	P16298
QJJXYPPXXYFBGM-LFZNUXCKSA-N	P48454
QJJXYPPXXYFBGM-LFZNUXCKSA-N	P62942
QJJXYPPXXYFBGM-LFZNUXCKSA-N	P63098
QJJXYPPXXYFBGM-LFZNUXCKSA-N	Q08209
QJJXYPPXXYFBGM-LFZNUXCKSA-N	Q96LZ3
QJZRFPJCWMNVAV-HHHXNRCGSA-N	P52732
QOECJCJVIMVJGX-UHFFFAOYSA-N	Q96KQ7
QOECJCJVIMVJGX-UHFFFAOYSA-N	Q9H9B1
QTBWCSQGBMPECM-UHFFFAOYSA-N	O14965
QTBWCSQGBMPECM-UHFFFAOYSA-N	P08684
QTBWCSQGBMPECM-UHFFFAOYSA-N	P10635
QTBWCSQGBMPECM-UHFFFAOYSA-N	Q96GD4
QTBWCSQGBMPECM-UHFFFAOYSA-N	Q9UQB9
QTQAWLPCGQOSGP-KSRBKZBZSA-N	P07900
QTQAWLPCGQOSGP-KSRBKZBZSA-N	P08238
QYZOGCMHVIGURT-UHFFFAOYSA-N	O14965
QYZOGCMHVIGURT-UHFFFAOYSA-N	Q96GD4
RCINICONZNJXQF-MZXODVADSA-N	O00206
RCINICONZNJXQF-MZXODVADSA-N	O75469
RCINICONZNJXQF-MZXODVADSA-N	P07437
RCINICONZNJXQF-MZXODVADSA-N	P10415
RCINICONZNJXQF-MZXODVADSA-N	P10636
RCINICONZNJXQF-MZXODVADSA-N	P27816
RCINICONZNJXQF-MZXODVADSA-N	P50579
RCINICONZNJXQF-MZXODVADSA-N	Q9H4B7
RFAXLXKIAKIUDT-UHFFFAOYSA-N	Q16512
RFBVBRVVOPAAFS-UHFFFAOYSA-N	P04637
RFBVBRVVOPAAFS-UHFFFAOYSA-N	P22303
RFSMUFRPPYDYRD-CALCHBBNSA-N	P42345
RITAVMQDGBJQJZ-FMIVXFBMSA-N	O00444
RITAVMQDGBJQJZ-FMIVXFBMSA-N	P09603
RITAVMQDGBJQJZ-FMIVXFBMSA-N	P09619
RITAVMQDGBJQJZ-FMIVXFBMSA-N	P10721
RITAVMQDGBJQJZ-FMIVXFBMSA-N	P16234
RITAVMQDGBJQJZ-FMIVXFBMSA-N	P17948
RITAVMQDGBJQJZ-FMIVXFBMSA-N	P35916
RITAVMQDGBJQJZ-FMIVXFBMSA-N	P35968
RITAVMQDGBJQJZ-FMIVXFBMSA-N	P36888
RJMUSRYZPJIFPJ-UHFFFAOYSA-N	P40763
RKKFQJXGAQWHBZ-LICLKQGHSA-N	O15151
RKKFQJXGAQWHBZ-LICLKQGHSA-N	P04637
RKKFQJXGAQWHBZ-LICLKQGHSA-N	Q00987
RPQZTTQVRYEKCR-JXMHAVLCSA-N	P26358
RPQZTTQVRYEKCR-JXMHAVLCSA-N	P32320
RTKIYFITIVXBLE-WKWSCTOISA-N	O15379
RTKIYFITIVXBLE-WKWSCTOISA-N	P56524
RTKIYFITIVXBLE-WKWSCTOISA-N	Q13547
RTKIYFITIVXBLE-WKWSCTOISA-N	Q8WUI4
RTKIYFITIVXBLE-WKWSCTOISA-N	Q92769
RTKIYFITIVXBLE-WKWSCTOISA-N	Q969S8
RTKIYFITIVXBLE-WKWSCTOISA-N	Q9BY41
RTKIYFITIVXBLE-WKWSCTOISA-N	Q9UBN7
RTKIYFITIVXBLE-WKWSCTOISA-N	Q9UKV0
RTKIYFITIVXBLE-WKWSCTOISA-N	Q9UQL6
RTRQQBHATOEIAF-UUOKFMHZSA-N	P31939
RYMZZMVNJRMUDD-HGQWONQESA-N	P04035
RYMZZMVNJRMUDD-HGQWONQESA-N	P05107
SAYGKHKXGCPTLX-UHFFFAOYSA-N	O14920
SCELLOWTHJGVIC-UHFFFAOYSA-N	Q13315
SCJHEFQWKWHQTO-GFCCVEGCSA-N	P08581
SCJHEFQWKWHQTO-GFCCVEGCSA-N	Q9UM73
SCKYRAXSEDYPSA-UHFFFAOYSA-N	P05023
SCKYRAXSEDYPSA-UHFFFAOYSA-N	P23921
SDUQYLNIPVEERB-UHFFFAOYSA-N	P04818
SDUQYLNIPVEERB-UHFFFAOYSA-N	P23921
SDUQYLNIPVEERB-UHFFFAOYSA-N	P30085
SDUQYLNIPVEERB-UHFFFAOYSA-N	P31350
SETFNECMODOHTO-UHFFFAOYSA-N	O43570
SETFNECMODOHTO-UHFFFAOYSA-N	P00915
SETFNECMODOHTO-UHFFFAOYSA-N	P00918
SETFNECMODOHTO-UHFFFAOYSA-N	P23280
SETFNECMODOHTO-UHFFFAOYSA-N	P43166
SETFNECMODOHTO-UHFFFAOYSA-N	Q16790
SETFNECMODOHTO-UHFFFAOYSA-N	Q9ULX7
SGIWFELWJPNFDH-UHFFFAOYSA-N	O75469
SGIWFELWJPNFDH-UHFFFAOYSA-N	P28702
SGIWFELWJPNFDH-UHFFFAOYSA-N	P55055
SGIWFELWJPNFDH-UHFFFAOYSA-N	Q13133
SGIWFELWJPNFDH-UHFFFAOYSA-N	Q15596
SGIWFELWJPNFDH-UHFFFAOYSA-N	Q15788
SJOLTIOPWDLDEB-UHFFFAOYSA-N	P43490
SNIGEINPLSDHBQ-UHFFFAOYSA-N	P13631
SPMVMDHWKHCIDT-UHFFFAOYSA-N	P09619
SPMVMDHWKHCIDT-UHFFFAOYSA-N	P10721
SPMVMDHWKHCIDT-UHFFFAOYSA-N	P16234
SPMVMDHWKHCIDT-UHFFFAOYSA-N	P17948
SPMVMDHWKHCIDT-UHFFFAOYSA-N	P35916
SPMVMDHWKHCIDT-UHFFFAOYSA-N	P35968
SPMVMDHWKHCIDT-UHFFFAOYSA-N	P36888
STUBOTPNCNDBOA-ROUUACIJSA-N	Q06609
SUDAHWBOROXANE-SECBINFHSA-N	P36507
SUDAHWBOROXANE-SECBINFHSA-N	Q02750
SVENPFFEMUOOGK-SDNWHVSQSA-N	Q8IXJ6
SZWKGOZKRMMLAJ-UHFFFAOYSA-N	P10276
TUVCWJQQGGETHL-UHFFFAOYSA-N	O00329
TUVCWJQQGGETHL-UHFFFAOYSA-N	P42336
TUVCWJQQGGETHL-UHFFFAOYSA-N	P42338
TUVCWJQQGGETHL-UHFFFAOYSA-N	P42345
TUVCWJQQGGETHL-UHFFFAOYSA-N	P48736
TUVCWJQQGGETHL-UHFFFAOYSA-N	P78527
TXUWMXQFNYDOEZ-UHFFFAOYSA-N	Q13546
TZYWCYJVHRLUCT-VABKMULXSA-N	P20618
TZYWCYJVHRLUCT-VABKMULXSA-N	P28074
TZYWCYJVHRLUCT-VABKMULXSA-N	P49721
TZYWCYJVHRLUCT-VABKMULXSA-N	Q13200
TZYWCYJVHRLUCT-VABKMULXSA-N	Q99460
UADRPWLRVLBVBC-UHFFFAOYSA-N	Q8IXJ6
UADRPWLRVLBVBC-UHFFFAOYSA-N	Q96EB6
UBPYILGKFZZVDX-UHFFFAOYSA-N	O94804
UBPYILGKFZZVDX-UHFFFAOYSA-N	P00519
UBPYILGKFZZVDX-UHFFFAOYSA-N	P06241
UBPYILGKFZZVDX-UHFFFAOYSA-N	P07948
UBPYILGKFZZVDX-UHFFFAOYSA-N	P08631
UBPYILGKFZZVDX-UHFFFAOYSA-N	P11274
UBPYILGKFZZVDX-UHFFFAOYSA-N	P12931
UBPYILGKFZZVDX-UHFFFAOYSA-N	P24941
UBPYILGKFZZVDX-UHFFFAOYSA-N	P36507
UBPYILGKFZZVDX-UHFFFAOYSA-N	P42681
UBPYILGKFZZVDX-UHFFFAOYSA-N	P42685
UBPYILGKFZZVDX-UHFFFAOYSA-N	Q02750
UBPYILGKFZZVDX-UHFFFAOYSA-N	Q07912
UBPYILGKFZZVDX-UHFFFAOYSA-N	Q13043
UBPYILGKFZZVDX-UHFFFAOYSA-N	Q13555
UBPYILGKFZZVDX-UHFFFAOYSA-N	Q8IU85
UBPYILGKFZZVDX-UHFFFAOYSA-N	Q9Y2U5
UBPYILGKFZZVDX-UHFFFAOYSA-N	Q9Y4K4
UBPYILGKFZZVDX-UHFFFAOYSA-N	Q9Y6E0
UCEQXRCJXIVODC-PMACEKPBSA-N	P08581
UCFGDBYHRUNTLO-UHFFFAOYSA-N	P11387
UCFGDBYHRUNTLO-UHFFFAOYSA-N	Q969P6
UCGWYCMPZXDHNR-UHFFFAOYSA-N	Q96KQ7
UEJJHQNACJXSKW-UHFFFAOYSA-N	P01375
UEJJHQNACJXSKW-UHFFFAOYSA-N	P02763
UEJJHQNACJXSKW-UHFFFAOYSA-N	P19652
UEJJHQNACJXSKW-UHFFFAOYSA-N	P19838
UEJJHQNACJXSKW-UHFFFAOYSA-N	P21802
UEJJHQNACJXSKW-UHFFFAOYSA-N	P35354
UEJJHQNACJXSKW-UHFFFAOYSA-N	Q96SW2
UFICVEHDQUKCEA-UHFFFAOYSA-N	P08581
UFICVEHDQUKCEA-UHFFFAOYSA-N	P17948
UFICVEHDQUKCEA-UHFFFAOYSA-N	P30530
UFICVEHDQUKCEA-UHFFFAOYSA-N	P35968
UFICVEHDQUKCEA-UHFFFAOYSA-N	P36888
UFICVEHDQUKCEA-UHFFFAOYSA-N	Q02763
UFICVEHDQUKCEA-UHFFFAOYSA-N	Q04912
UGQMURPIMYALPH-PZJQAWQVSA-N	P04626
UGQMURPIMYALPH-PZJQAWQVSA-N	P06213
UGQMURPIMYALPH-PZJQAWQVSA-N	P06239
UGQMURPIMYALPH-PZJQAWQVSA-N	P08069
UGQMURPIMYALPH-PZJQAWQVSA-N	P08581
UGQMURPIMYALPH-PZJQAWQVSA-N	P08684
UGQMURPIMYALPH-PZJQAWQVSA-N	P09619
UGQMURPIMYALPH-PZJQAWQVSA-N	P16234
UGQMURPIMYALPH-PZJQAWQVSA-N	P24864
UGQMURPIMYALPH-PZJQAWQVSA-N	P24941
UGQMURPIMYALPH-PZJQAWQVSA-N	P28482
UGQMURPIMYALPH-PZJQAWQVSA-N	P31749
UGQMURPIMYALPH-PZJQAWQVSA-N	P35968
UHDGCWIWMRVCDJ-UHFFFAOYSA-N	P06746
UHDGCWIWMRVCDJ-UHFFFAOYSA-N	P09884
UHDGCWIWMRVCDJ-UHFFFAOYSA-N	P28340
UHDGCWIWMRVCDJ-UHFFFAOYSA-N	Q07864
UHTHHESEBZOYNR-UHFFFAOYSA-N	O15197
UHTHHESEBZOYNR-UHFFFAOYSA-N	P00533
UHTHHESEBZOYNR-UHFFFAOYSA-N	P04626
UHTHHESEBZOYNR-UHFFFAOYSA-N	P07949
UHTHHESEBZOYNR-UHFFFAOYSA-N	P12931
UHTHHESEBZOYNR-UHFFFAOYSA-N	P15692
UHTHHESEBZOYNR-UHFFFAOYSA-N	P17948
UHTHHESEBZOYNR-UHFFFAOYSA-N	P21709
UHTHHESEBZOYNR-UHFFFAOYSA-N	P21860
UHTHHESEBZOYNR-UHFFFAOYSA-N	P29317
UHTHHESEBZOYNR-UHFFFAOYSA-N	P29320
UHTHHESEBZOYNR-UHFFFAOYSA-N	P29322
UHTHHESEBZOYNR-UHFFFAOYSA-N	P29323
UHTHHESEBZOYNR-UHFFFAOYSA-N	P35916
UHTHHESEBZOYNR-UHFFFAOYSA-N	P35968
UHTHHESEBZOYNR-UHFFFAOYSA-N	P54753
UHTHHESEBZOYNR-UHFFFAOYSA-N	P54756
UHTHHESEBZOYNR-UHFFFAOYSA-N	P54760
UHTHHESEBZOYNR-UHFFFAOYSA-N	P54762
UHTHHESEBZOYNR-UHFFFAOYSA-N	P54764
UHTHHESEBZOYNR-UHFFFAOYSA-N	Q02763
UHTHHESEBZOYNR-UHFFFAOYSA-N	Q13882
UHTHHESEBZOYNR-UHFFFAOYSA-N	Q15303
UHTHHESEBZOYNR-UHFFFAOYSA-N	Q15375
UHTHHESEBZOYNR-UHFFFAOYSA-N	Q5JZY3
UHTHHESEBZOYNR-UHFFFAOYSA-N	Q9UF33
UJIAQDJKSXQLIT-UHFFFAOYSA-N	O00329
UJIAQDJKSXQLIT-UHFFFAOYSA-N	P42336
UJIAQDJKSXQLIT-UHFFFAOYSA-N	P42338
UJIAQDJKSXQLIT-UHFFFAOYSA-N	P48736
ULDXWLCXEDXJGE-UHFFFAOYSA-N	P31749
ULDXWLCXEDXJGE-UHFFFAOYSA-N	P31751
ULDXWLCXEDXJGE-UHFFFAOYSA-N	Q9Y243
UREBDLICKHMUKA-CXSFZGCWSA-N	P04083
UREBDLICKHMUKA-CXSFZGCWSA-N	P04150
UREBDLICKHMUKA-CXSFZGCWSA-N	P08235
UREBDLICKHMUKA-CXSFZGCWSA-N	P51843
UREBDLICKHMUKA-CXSFZGCWSA-N	P60321
UVBUBMSSQKOIBE-UHFFFAOYSA-N	P27544
UVBUBMSSQKOIBE-UHFFFAOYSA-N	Q6ZMG9
UVBUBMSSQKOIBE-UHFFFAOYSA-N	Q8IU89
UVBUBMSSQKOIBE-UHFFFAOYSA-N	Q8N5B7
UVBUBMSSQKOIBE-UHFFFAOYSA-N	Q96G23
UVBUBMSSQKOIBE-UHFFFAOYSA-N	Q9HA82
UVSVTDVJQAJIFG-VURMDHGXSA-N	Q06187
UWKQSNNFCGGAFS-XIFFEERXSA-N	P11387
UWKQSNNFCGGAFS-XIFFEERXSA-N	Q969P6
UXXQOJXBIDBUAC-UHFFFAOYSA-N	P07333
UXXQOJXBIDBUAC-UHFFFAOYSA-N	P09619
UXXQOJXBIDBUAC-UHFFFAOYSA-N	P10721
UXXQOJXBIDBUAC-UHFFFAOYSA-N	P36888
UXXQOJXBIDBUAC-UHFFFAOYSA-N	Q9GZP0
VAVXGGRQQJZYBL-UHFFFAOYSA-N	O14757
VAVXGGRQQJZYBL-UHFFFAOYSA-N	O15530
VAVXGGRQQJZYBL-UHFFFAOYSA-N	P24941
VAVXGGRQQJZYBL-UHFFFAOYSA-N	P35968
VAVXGGRQQJZYBL-UHFFFAOYSA-N	P49841
VAVXGGRQQJZYBL-UHFFFAOYSA-N	Q15118
VAZAPHZUAVEOMC-UHFFFAOYSA-N	O15379
VAZAPHZUAVEOMC-UHFFFAOYSA-N	Q13547
VAZAPHZUAVEOMC-UHFFFAOYSA-N	Q92769
VAZAPHZUAVEOMC-UHFFFAOYSA-N	Q9BY41
VAZAPHZUAVEOMC-UHFFFAOYSA-N	Q9UBN7
VFLDPWHFBUODDF-FCXRPNKRSA-N	O43570
VFLDPWHFBUODDF-FCXRPNKRSA-N	P00915
